goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	12302484305 ns/op	4062625368 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	17240318296 ns/op	4062625368 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	16833940237 ns/op	4062625368 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	15714451752 ns/op	3981862592 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	13855012864 ns/op	3981862576 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	20366182190 ns/op	3981862576 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	16103392636 ns/op	3981862576 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	16331807427 ns/op	3981862592 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	21482621679 ns/op	3981862576 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	12378119933 ns/op	3981862592 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	20086012097 ns/op	3981862576 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	16737522595 ns/op	3981862592 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	13130234063 ns/op	3981862576 B/op	    1567 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=parallel-128         	       1	15820515628 ns/op	3565534048 B/op	     881 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=6/reduction=parallel-128         	       1	13763724432 ns/op	3565534048 B/op	     881 allocs/op
